date,open,close,high,low,volume,company
2000-04-28,120.0000,111.5000,128.0000,101.2500,168464800,IBM
2000-03-31,102.0000,118.3700,128.2500,99.5000,194329000,IBM
2000-02-29,112.3700,102.7500,119.7500,100.9400,133524400,IBM
2000-01-31,112.4400,112.2500,124.7500,109.6200,175259600,IBM
1999-12-31,102.5600,107.8700,122.1200,102.2500,158626300,IBM
2023-09-20,189.4850,175.4900,189.9800,173.5400,932160300,AAPL
2023-08-31,196.2350,187.8700,196.7300,171.9600,1323817340,AAPL
2023-07-31,193.7800,196.4500,198.2300,186.6000,996368613,AAPL
2023-06-30,177.7000,193.9700,194.4800,176.9306,1297863403,AAPL
2023-05-31,169.2800,177.2500,179.3500,164.3100,1275052503,AAPL
2023-04-28,164.2700,169.6800,169.8500,159.7800,967580718,AAPL
2023-03-31,146.8300,164.9000,165.0000,143.9000,1520461315,AAPL
2023-02-28,143.9700,147.4100,157.3800,141.3200,1307294493,AAPL
2023-01-31,130.2800,144.2900,147.2300,124.1700,1443652725,AAPL
2022-12-30,148.2100,129.9300,150.9199,125.8700,1675731304,AAPL
2022-11-30,155.0800,148.0300,155.4500,134.3800,1724948219,AAPL
2022-10-31,138.2100,153.3400,157.5000,134.3700,1868381344,AAPL
2022-09-30,156.6400,138.2000,164.2600,138.0000,2083968147,AAPL
2022-08-31,161.0100,157.2200,176.1500,157.1400,1509735435,AAPL
2022-07-29,136.0400,162.5100,163.6300,135.6600,1447364668,AAPL
2022-06-30,149.9000,136.7200,151.7400,129.0400,1749297959,AAPL
2022-05-31,156.7100,148.8400,166.4800,132.6100,2400305601,AAPL
2022-04-29,174.0300,157.6500,178.4900,155.3800,1683547838,AAPL
2022-03-31,164.6950,174.6100,179.6100,150.1000,2171827429,AAPL
2022-02-28,174.0100,165.1200,176.6500,152.0000,1628570227,AAPL
2022-01-31,177.8300,174.7800,182.9400,154.7000,2106513962,AAPL
2021-12-31,167.4800,177.5700,182.1300,157.8000,2443227128,AAPL
2021-11-30,148.9850,165.3000,165.7000,147.4800,1688864233,AAPL
2021-10-29,141.9000,149.8000,153.1650,138.2700,1565079040,AAPL
2021-09-30,152.8300,141.5000,157.2600,141.2700,1797948421,AAPL
2021-08-31,146.3600,151.8300,153.4900,144.5000,1462773381,AAPL
2021-07-30,136.6000,145.8600,150.0000,135.7600,1916751489,AAPL
2021-06-30,125.0800,136.9600,137.4100,123.1300,1606114354,AAPL
2021-05-28,132.0400,124.6100,134.0700,122.2500,1711935110,AAPL
2021-04-30,123.6600,131.4600,137.0700,122.4900,1889956694,AAPL
2021-03-31,123.7500,122.1500,128.7200,116.2100,2650845211,AAPL
2021-02-26,133.7500,121.2600,137.8770,118.3900,1825486961,AAPL
2021-01-29,133.5200,131.9600,145.0900,126.3820,2239366098,AAPL
2020-12-31,121.0100,132.6900,138.7890,120.0100,2319687808,AAPL
2020-11-30,109.1100,119.0500,121.9900,107.3200,2122724412,AAPL
2020-10-30,117.6400,108.8600,125.3900,107.7200,2895317580,AAPL
2020-09-30,132.7600,115.8100,137.9800,103.1000,3886793083,AAPL
2020-08-31,432.8000,129.0400,515.1400,126.0000,1184207050,AAPL
2020-07-31,365.1200,425.0400,425.6600,356.5800,755162226,AAPL
2020-06-30,317.7500,364.8000,372.3800,317.2100,810900890,AAPL
2020-05-29,286.2500,317.9400,324.2400,285.8500,701660022,AAPL
2020-04-30,246.5000,293.8000,294.5300,236.9000,816530808,AAPL
2020-03-31,282.2800,254.2900,304.0000,212.6100,1570331732,AAPL
2020-02-28,304.3000,273.3600,327.2200,256.3700,755223231,AAPL
2020-01-31,296.2400,309.5100,327.8500,292.7500,734044103,AAPL
2019-12-31,267.2700,293.6500,293.9700,256.2900,598871365,AAPL
2019-11-29,249.5400,267.2500,268.0000,249.1600,448922253,AAPL
2019-10-31,225.0700,248.7600,249.7500,215.1300,621478768,AAPL
2019-09-30,206.4300,223.9700,226.4200,204.2200,547408488,AAPL
2019-08-30,213.9000,208.7400,218.0300,192.5800,683515746,AAPL
2019-07-31,203.1700,213.0400,221.3700,198.4100,473957094,AAPL
2019-06-28,175.6000,197.9200,201.5700,170.2700,515218768,AAPL
2019-05-31,209.8800,175.0700,215.3100,174.9900,739456573,AAPL
2019-04-30,191.6400,200.6700,208.4800,188.3800,506117812,AAPL
2019-03-29,174.2800,189.9500,197.6900,169.5000,650981384,AAPL
2019-02-28,166.9600,173.1500,175.8700,165.9300,472540723,AAPL
2019-01-31,154.8900,166.4400,169.0000,142.0000,828099179,AAPL
2018-12-31,184.4600,157.7400,184.9400,146.5900,898917007,AAPL
2018-11-30,219.0500,178.5800,222.3600,170.2600,961321947,AAPL
2018-10-31,227.9500,218.8600,233.4700,206.0900,789748068,AAPL
2018-09-28,228.4100,225.7400,229.6700,215.3000,678972040,AAPL
2018-08-31,199.1300,227.6300,228.8700,197.3100,700318837,AAPL
2018-07-31,183.8200,190.2900,195.9600,183.4200,393843881,AAPL
2018-06-29,187.9900,185.1100,194.2000,180.7300,527624365,AAPL
2018-05-31,166.4100,186.8700,190.3700,165.2700,620976206,AAPL
2018-04-30,166.6400,165.2600,178.9400,160.6300,666360147,AAPL
2018-03-29,178.5400,167.7800,183.5000,164.9400,701387082,AAPL
2018-02-28,167.1700,178.1200,180.6200,150.2400,888378184,AAPL
2018-01-31,170.1600,167.4300,180.1000,164.7000,639245534,AAPL
2017-12-29,169.9500,169.2300,177.2000,166.4600,518560008,AAPL
2017-11-30,169.8700,171.8500,176.2400,165.2800,581374608,AAPL
2017-10-31,154.2600,169.0400,169.6499,152.4600,496135305,AAPL
2017-09-29,164.8000,154.1200,164.9400,149.1600,669594016,AAPL
2017-08-31,149.1000,164.0000,164.5200,148.4100,638221161,AAPL
2017-07-31,144.8800,148.7300,153.9900,142.4100,411377229,AAPL
2017-06-30,153.1700,144.0200,155.9800,142.2000,664986406,AAPL
2017-05-31,145.1000,152.7600,156.6500,144.2700,635292989,AAPL
2017-04-28,143.7100,143.6500,145.4600,140.0600,371280180,AAPL
2017-03-31,137.8900,143.6600,144.5000,137.0500,562091214,AAPL
2017-02-28,127.0300,136.9900,137.4800,127.0100,574968547,AAPL
2017-01-31,115.8000,121.3500,122.4400,114.7600,563331160,AAPL
2016-12-30,110.3650,115.8200,118.0166,108.2500,608771645,AAPL
